X,Y,Z
0.0171309485043149,-0.0186169675397829,-0.0120935054571939
0.0170816265128617,-0.0184532305824127,-0.0121055597117242
0.0170323045214085,-0.0182894936250425,-0.0121176139662546
0.0169829825299553,-0.0181257566676723,-0.0121296682207849
0.016933660538502,-0.0179620197103021,-0.0121417224753152
0.0168843385470488,-0.017798282752932,-0.0121537767298455
0.0168350165555956,-0.0176345457955618,-0.0121658309843758
0.0167856945641423,-0.0174708088381916,-0.0121778852389062
0.0167363725726891,-0.0173070718808214,-0.0121899394934365
0.0166870505812359,-0.0171433349234512,-0.0122019937479668
0.0166377285897827,-0.016979597966081,-0.0122140480024971
0.0165884065983294,-0.0168158610087108,-0.0122261022570274
0.0165390846068762,-0.0166521240513406,-0.0122381565115578
0.016489762615423,-0.0164883870939704,-0.0122502107660881
0.0164404406239697,-0.0163246501366003,-0.0122622650206184
0.0163911186325165,-0.0161609131792301,-0.0122743192751487
0.0163417966410633,-0.0159971762218599,-0.012286373529679
0.0162924746496101,-0.0158334392644897,-0.0122984277842094
0.0162431526581568,-0.0156697023071195,-0.0123104820387397
0.0161938306667036,-0.0155059653497493,-0.01232253629327
0.0161445086752504,-0.0153422283923791,-0.0123345905478003
0.0160951866837971,-0.0151784914350089,-0.0123466448023307
0.0160458646923439,-0.0150147544776388,-0.012358699056861
0.0159965427008907,-0.0148510175202686,-0.0123707533113913
0.0159472207094375,-0.0146872805628984,-0.0123828075659216
0.0158978987179842,-0.0145235436055282,-0.0123948618204519
0.015848576726531,-0.014359806648158,-0.0124069160749823
0.0157992547350778,-0.0141960696907878,-0.0124189703295126
0.0157499327436246,-0.0140323327334176,-0.0124310245840429
0.0157006107521713,-0.0138685957760474,-0.0124430788385732
0.0156512887607181,-0.0137048588186773,-0.0124551330931035
0.0156019667692649,-0.0135411218613071,-0.0124671873476339
0.0155526447778116,-0.0133773849039369,-0.0124792416021642
0.0155033227863584,-0.0132136479465667,-0.0124912958566945
0.0154540007949052,-0.0130499109891965,-0.0125033501112248
0.015404678803452,-0.0128861740318263,-0.0125154043657551
0.0153553568119987,-0.0127224370744561,-0.0125274586202855
0.0153060348205455,-0.0125587001170859,-0.0125395128748158
0.0152567128290923,-0.0123949631597157,-0.0125515671293461
0.015207390837639,-0.0122312262023456,-0.0125636213838764
0.0151580688461858,-0.0120674892449754,-0.0125756756384067
0.0151087468547326,-0.0119037522876052,-0.0125877298929371
0.0150594248632794,-0.011740015330235,-0.0125997841474674
0.0150101028718261,-0.0115762783728648,-0.0126118384019977
0.0149607808803729,-0.0114125414154946,-0.012623892656528
0.0149114588889197,-0.0112488044581244,-0.0126359469110583
0.0148621368974664,-0.0110850675007542,-0.0126480011655887
0.0148128149060132,-0.0109213305433841,-0.012660055420119
0.01476349291456,-0.0107575935860139,-0.0126721096746493
0.0147141709231068,-0.0105938566286437,-0.0126841639291796
0.0146648489316535,-0.0104301196712735,-0.0126962181837099
0.0146155269402003,-0.0102663827139033,-0.0127082724382403
0.0145662049487471,-0.0101026457565331,-0.0127203266927706
0.0145168829572938,-0.00993890879916293,-0.0127323809473009
0.0144675609658406,-0.00977517184179274,-0.0127444352018312
0.0144182389743874,-0.00961143488442255,-0.0127564894563615
0.0143689169829342,-0.00944769792705236,-0.0127685437108919
0.0143195949914809,-0.00928396096968218,-0.0127805979654222
0.0142702730000277,-0.00912022401231199,-0.0127926522199525
0.0142209510085745,-0.0089564870549418,-0.0128047064744828
0.0141716290171212,-0.00879275009757162,-0.0128167607290131
0.014122307025668,-0.00862901314020142,-0.0128288149835435
0.0140729850342148,-0.00846527618283124,-0.0128408692380738
0.0140236630427616,-0.00830153922546105,-0.0128529234926041
0.0139743410513083,-0.00813780226809086,-0.0128649777471344
0.0139250190598551,-0.00797406531072067,-0.0128770320016648
0.0138756970684019,-0.00781032835335049,-0.0128890862561951
0.0138263750769487,-0.00764659139598029,-0.0129011405107254
0.0137770530854954,-0.00748285443861011,-0.0129131947652557
0.0137277310940422,-0.00731911748123992,-0.012925249019786
0.013678409102589,-0.00715538052386973,-0.0129373032743164
0.0136290871111357,-0.00699164356649955,-0.0129493575288467
0.0135797651196825,-0.00682790660912936,-0.012961411783377
0.0135304431282293,-0.00666416965175917,-0.0129734660379073
0.0134811211367761,-0.00650043269438898,-0.0129855202924376
